id	filename	md5	size	state
0c00e39b-6b81-472f-8db7-b0ce834e3055	33721d7a-398c-42f8-8d8a-d18ae4aa0fdc.FPKM-UQ.txt.gz	61fb3af115826cb30b9ae07c285de6b1	518608	live
120c8367-3ae9-4d9b-9ba2-e4e285ab1081	0e114891-8315-49a0-92a6-171f233f7638.FPKM-UQ.txt.gz	e8e0069abb29c94ceca6b9705a219fdc	533404	live
1b0bfe7b-dbb4-4840-b002-e3428c7f26f9	19229bc0-4bc2-44e8-a961-bd1eefe354de.FPKM-UQ.txt.gz	7f1cda0194d4167ca8033f7126042e8c	517598	live
2e467608-9685-4f92-bea7-e97fa05e4d6c	6ce53ab9-7320-4a5a-8284-bf3021e29e24.FPKM-UQ.txt.gz	e1cbe4134d4ca7ae31676d9787bf1053	490720	live
3259cf76-57fa-4f90-a043-a85c95d42d7d	3e1a02f1-6a15-44d9-b974-be537d0f4ad8.FPKM-UQ.txt.gz	45c771a8112b8a0dabe312c391374c6d	510699	live
3365c169-ceb2-4133-bf01-cfe0d5fab2dc	d1666bf1-50fa-44ec-8681-8f46e479daee.FPKM-UQ.txt.gz	4c9b3853babb4cf304b4265261e5655f	581399	live
337c875c-1fe6-4a9b-bc19-5cbafa450cc7	e916087d-f531-4130-9823-1019ee7a7dd9.FPKM-UQ.txt.gz	461617014b0b1c2f0b7d3b714a6bc677	500834	live
3b2ea61b-d560-4477-a60c-5f3c20bc9717	f4dc779b-628d-443d-9dc5-de478efff865.FPKM-UQ.txt.gz	1d82ec9b2851399f2ed7447faf744954	504971	live
3cf4d371-8c05-4e21-aa89-15491d010c4c	0e92cbf2-ac17-4227-a54d-1c8877b2db8f.FPKM-UQ.txt.gz	09a8c6fc15cf375398ad1d5869e52d18	497515	live
40ca9be5-afd9-457d-9532-58c9e649bcf3	45b3cbd9-b757-42bb-9230-e55ef6041761.FPKM-UQ.txt.gz	081bf4be3acbf929b0e7101a5b03e0a9	506734	live
40f7fe84-7e25-43fe-860f-0ee40e6dc56a	94ca26b4-6673-4dba-a7d0-8e6a8c4b03ee.FPKM-UQ.txt.gz	c301573ab8c99bcd79ffb05f840ca9d3	512734	live
40fa3256-3376-4859-99a5-f65864637410	1e591edb-e556-4983-a028-ecb537514fb4.FPKM-UQ.txt.gz	ed5dc3a088133b9c3d7638657b8d23d8	501392	live
5058c16b-8147-4302-a3a1-d923254f4001	2613fbb7-cf79-48ea-9f0c-e7f6af0e6ad0.FPKM-UQ.txt.gz	0ffaff8e69233e4cea94a211f51cf03b	496451	live
55581d5b-f2dc-4d8d-810c-58a91a1fd5bc	0297aa11-ec36-489f-a9a7-05ce96a55874.FPKM-UQ.txt.gz	c213c5aa3461b9976504a97abe58a68b	517586	live
59129bdc-4151-4210-a210-24b289309c52	4b9c4397-d2c4-45e4-abed-842392ab40f9.FPKM-UQ.txt.gz	b888b13c8080fc8a841ed5b91308f59b	520034	live
